日期,,1号线,2号线,3号线,4号线,5号线,6号线,7号线,8号线,9号线,10号线,11号线,12号线,13号线,16号线,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.4.16,8121765,1004271,1323645,478760,593846,123297,321708,572753,825350,659195,697032,704929,399276,252973,164730,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.4.16,10763226,1297678,1746675,603415,913650,158486,453095,837041,1030838,931187,855070,805971,604376,365506,160238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.4.16,10893436,1315258,1735343,605772,934805,160171,456457,846851,1060183,942434,867467,822179,611864,373268,161384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.4.16,9984106,1213565,1553699,558677,859110,147020,426718,786647,976729,874280,776059,741671,573490,354163,142278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4.16,10358293,1261658,1590314,579772,887632,152917,445566,819821,1019098,907979,805092,776570,595606,365964,150304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.4.16,11112414,1370861,1713825,618511,935772,168108,472242,859337,1093895,976846,867564,839619,629399,383003,183432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.4.16,6978964,897165,1034449,396361,568900,111037,282001,520650,739669,581524,562257,557518,369656,241738,116039,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.4.16,7416030,947707,1137548,436358,555287,115545,300078,547244,771245,608846,621019,606293,378310,242367,148183,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.4.16,10315905,1256404,1584932,574932,882789,154430,439799,853944,1005828,900145,785080,773456,589150,361348,153668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.4.16,10210976,1229795,1584134,559677,875384,148555,435979,859742,999929,885264,779162,761138,582335,362063,147819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.4.16,10537202,1273503,1625408,581757,899942,154049,448335,867578,1034360,914520,803545,807771,597386,368782,160266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.4.16,10831778,1323433,1652683,598698,915274,160909,458528,861063,1059085,940576,834558,861699,611688,375368,178216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.4.16,11522926,1447423,1783520,651321,972797,177527,481554,861275,1107624,986855,910914,912795,635869,388977,204475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.4.16,8840788,1145160,1412096,477218,618282,132185,321105,594203,909786,737992,806649,768827,418044,278504,220737,五一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
